"file","bytes","sha256"
"cubit_duplicate_audit.json","983","44ca831f5b40e9d97d28114d09096d3d3df82244d273245c97b1bd4eea7483ef"
"cubit_exact_dedup_decisions_v1.csv","2254254","d8534fd55e8de05c800d9200229f923d98523df5520cc491447cdc03e4ef15f4"
"cubit_near_duplicate_review_report.json","766","56b518e9fc49ac75b45499d11b7aacca0ac1692980a21a688c0a1106f816b620"
"cubit_train_val_source_v1.csv","2881044","d0055cc47e0fa1c358d4e669efdf0c15cb31de1aeb5fe9f77804feaf47c99865"
"README.md","6702","cd84a58f0a8efc7ae136fa03f369b5b900616b5bb14d36626090b190a640d9ff"
"review_decisions_template.csv","90","583059eede37cd1456bddd930fba39b096219730496e185f8e4ed4cb7d7376f7"
"review_queue.csv","63244","861f8e3b457f848c67994fc5f30c2affee3aff3bb83f2223f8f3f5d105ce7bac"
"review_queue_original.csv","63244","861f8e3b457f848c67994fc5f30c2affee3aff3bb83f2223f8f3f5d105ce7bac"
"source_manifest.csv","5108","8280f2e24ffac4813b63d036fb00655352ee6483e3b2358b5eba9dabf178df4e"
"TAXONOMY.md","7473","a9631d12235cb2a58edc919e3ff1f45c24bc3ffa50dea498c41e5e761cee4a57"
