match_type,phash_hamming_distance,cross_split,left_record_id,left_split,left_member,right_record_id,right_split,right_member
exact_bytes,0,True,cubit_train_sp0_1031,train,images/SP0_1031.JPG,cubit_test_sp1_1015,test,images/SP1_1015.JPG
exact_bytes,0,True,cubit_train_sp0_1068,train,images/SP0_1068.JPG,cubit_val_sp1_1057,val,images/SP1_1057.JPG
exact_bytes,0,True,cubit_train_sp0_1100,train,images/SP0_1100.JPG,cubit_val_sp1_1089,val,images/SP1_1089.JPG
exact_bytes,0,True,cubit_train_sp0_1103,train,images/SP0_1103.JPG,cubit_test_sp1_1092,test,images/SP1_1092.JPG
exact_bytes,0,True,cubit_train_sp0_1105,train,images/SP0_1105.JPG,cubit_val_sp1_1094,val,images/SP1_1094.JPG
exact_bytes,0,True,cubit_train_sp0_1130,train,images/SP0_1130.JPG,cubit_val_sp1_1119,val,images/SP1_1119.JPG
exact_bytes,0,True,cubit_train_sp0_1132,train,images/SP0_1132.JPG,cubit_val_sp1_1121,val,images/SP1_1121.JPG
exact_bytes,0,True,cubit_train_sp0_1137,train,images/SP0_1137.JPG,cubit_test_sp1_1126,test,images/SP1_1126.JPG
exact_bytes,0,True,cubit_train_sp0_1139,train,images/SP0_1139.JPG,cubit_val_sp1_1128,val,images/SP1_1128.JPG
exact_bytes,0,True,cubit_train_sp0_1166,train,images/SP0_1166.JPG,cubit_val_sp1_1155,val,images/SP1_1155.JPG
exact_bytes,0,True,cubit_train_sp0_1170,train,images/SP0_1170.JPG,cubit_val_sp1_1159,val,images/SP1_1159.JPG
exact_bytes,0,True,cubit_train_sp0_1207,train,images/SP0_1207.JPG,cubit_val_sp1_1196,val,images/SP1_1196.JPG
exact_bytes,0,True,cubit_train_sp0_1239,train,images/SP0_1239.JPG,cubit_test_sp1_1228,test,images/SP1_1228.JPG
exact_bytes,0,True,cubit_train_sp0_1242,train,images/SP0_1242.JPG,cubit_val_sp1_1231,val,images/SP1_1231.JPG
exact_bytes,0,True,cubit_train_sp0_127,train,images/SP0_127.JPG,cubit_test_sp1_132,test,images/SP1_132.JPG
exact_bytes,0,True,cubit_train_sp0_1270,train,images/SP0_1270.JPG,cubit_test_sp1_1259,test,images/SP1_1259.JPG
exact_bytes,0,True,cubit_train_sp0_1271,train,images/SP0_1271.JPG,cubit_test_sp1_1260,test,images/SP1_1260.JPG
exact_bytes,0,True,cubit_train_sp0_1275,train,images/SP0_1275.JPG,cubit_val_sp1_1264,val,images/SP1_1264.JPG
exact_bytes,0,True,cubit_train_sp0_1277,train,images/SP0_1277.JPG,cubit_val_sp1_1266,val,images/SP1_1266.JPG
exact_bytes,0,True,cubit_train_sp0_1309,train,images/SP0_1309.JPG,cubit_val_sp1_1298,val,images/SP1_1298.JPG
exact_bytes,0,True,cubit_train_sp0_1347,train,images/SP0_1347.JPG,cubit_val_sp1_1336,val,images/SP1_1336.JPG
exact_bytes,0,True,cubit_train_sp0_1349,train,images/SP0_1349.JPG,cubit_test_sp1_1338,test,images/SP1_1338.JPG
exact_bytes,0,True,cubit_train_sp0_1382,train,images/SP0_1382.JPG,cubit_val_sp1_1371,val,images/SP1_1371.JPG
exact_bytes,0,True,cubit_train_sp0_1413,train,images/SP0_1413.JPG,cubit_val_sp1_1406,val,images/SP1_1406.JPG
exact_bytes,0,True,cubit_train_sp0_1440,train,images/SP0_1440.JPG,cubit_test_sp1_1433,test,images/SP1_1433.JPG
exact_bytes,0,True,cubit_train_sp0_1443,train,images/SP0_1443.JPG,cubit_val_sp1_1436,val,images/SP1_1436.JPG
exact_bytes,0,True,cubit_train_sp0_1444,train,images/SP0_1444.JPG,cubit_test_sp1_1437,test,images/SP1_1437.JPG
exact_bytes,0,True,cubit_train_sp0_1475,train,images/SP0_1475.JPG,cubit_test_sp1_1468,test,images/SP1_1468.JPG
exact_bytes,0,True,cubit_train_sp0_1509,train,images/SP0_1509.JPG,cubit_val_sp1_1502,val,images/SP1_1502.JPG
exact_bytes,0,True,cubit_train_sp0_153,train,images/SP0_153.JPG,cubit_val_sp1_159,val,images/SP1_159.JPG
exact_bytes,0,True,cubit_train_sp0_1542,train,images/SP0_1542.JPG,cubit_val_sp1_1535,val,images/SP1_1535.JPG
exact_bytes,0,True,cubit_train_sp0_1543,train,images/SP0_1543.JPG,cubit_test_sp1_1536,test,images/SP1_1536.JPG
exact_bytes,0,True,cubit_train_sp0_1545,train,images/SP0_1545.JPG,cubit_val_sp1_1538,val,images/SP1_1538.JPG
exact_bytes,0,True,cubit_train_sp0_155,train,images/SP0_155.JPG,cubit_val_sp1_161,val,images/SP1_161.JPG
exact_bytes,0,True,cubit_train_sp0_1571,train,images/SP0_1571.JPG,cubit_val_sp1_1565,val,images/SP1_1565.JPG
exact_bytes,0,True,cubit_train_sp0_1573,train,images/SP0_1573.JPG,cubit_val_sp1_1567,val,images/SP1_1567.JPG
exact_bytes,0,True,cubit_train_sp0_1605,train,images/SP0_1605.JPG,cubit_test_sp1_1599,test,images/SP1_1599.JPG
exact_bytes,0,True,cubit_train_sp0_1609,train,images/SP0_1609.JPG,cubit_val_sp1_1603,val,images/SP1_1603.JPG
exact_bytes,0,True,cubit_train_sp0_1610,train,images/SP0_1610.JPG,cubit_val_sp1_1604,val,images/SP1_1604.JPG
exact_bytes,0,True,cubit_train_sp0_1642,train,images/SP0_1642.JPG,cubit_test_sp1_1636,test,images/SP1_1636.JPG
exact_bytes,0,True,cubit_train_sp0_1674,train,images/SP0_1674.JPG,cubit_test_sp1_1668,test,images/SP1_1668.JPG
exact_bytes,0,True,cubit_train_sp0_1678,train,images/SP0_1678.JPG,cubit_test_sp1_1672,test,images/SP1_1672.JPG
exact_bytes,0,True,cubit_train_sp0_1680,train,images/SP0_1680.JPG,cubit_val_sp1_1674,val,images/SP1_1674.JPG
exact_bytes,0,True,cubit_train_sp0_1707,train,images/SP0_1707.JPG,cubit_val_sp1_1701,val,images/SP1_1701.JPG
exact_bytes,0,True,cubit_train_sp0_1743,train,images/SP0_1743.JPG,cubit_test_sp1_1737,test,images/SP1_1737.JPG
exact_bytes,0,True,cubit_train_sp0_1745,train,images/SP0_1745.JPG,cubit_test_sp1_1739,test,images/SP1_1739.JPG
